ID,diffuse,compact,merger,off_center,nearby,irregular,problematic,NBs,NBID,RA,DEC,F_Lya,dF_Lya,EW_rest,fuv,dfuv,U-B,Type,SpatialWeight,ID_2
470085,0,5,0,0,0,0,0,470,85,53.0869975,-27.7653146,7.93E-17,7.60E-18,295.28,4.82E-31,2.60E-31,0.8,N,3.41,470085
470089,0,2,1,2,0,0,0,470,89,53.0967606,-27.7485708,6.86E-17,7.94E-18,54.67,2.25E-30,2.74E-31,0.84,N,3.53,470089
470091,0,1,0,3,0,0,3,470,91,52.8577122,-27.7437648,2.95E-17,5.43E-18,217.03,2.44E-31,3.52E-31,-0.07,N,0.75,470091
470092,0,1,0,1,4,0,0,470,92,53.1716426,-27.7434085,3.29E-17,6.41E-18,43.09,1.37E-30,2.02E-31,0.32,N,3.29,470092
470093,0,1,0,0,2,1,0,470,93,53.2130871,-27.7421468,4.36E-17,7.75E-18,33.14,2.36E-30,2.43E-31,5.62,N,2.86,470093
470100,0,3,1,1,2,1,0,470,100,53.0947402,-27.7295163,3.50E-17,3.67E-18,154.32,4.07E-31,1.28E-31,0.35,N,3.37,470100
470101,0,5,0,0,0,0,0,470,101,53.334691,-27.7291497,7.91E-17,6.04E-18,103.91,1.37E-30,2.02E-31,1.32,N,1.54,470101
470105,3,0,0,0,0,0,2,470,105,53.3116818,-27.7278534,2.47E-16,1.66E-17,200.73,2.21E-30,5.39E-31,0.78,N,1.79,470105
470108,0,4,0,0,0,0,0,470,108,53.20341,-27.7161102,3.28E-17,6.23E-18,45.68,1.29E-30,1.94E-31,1.06,N,2.1,470108
470111,0,4,0,0,0,0,0,470,111,53.0564151,-27.7094383,4.29E-17,3.78E-18,1162.79,6.62E-32,1.27E-31,0.48,N,3.51,470111
470112,0,0,5,0,4,3,0,470,112,53.2837071,-27.7077209,4.11E-17,6.44E-18,40.29,1.83E-30,2.20E-31,0.44,N,1.83,470112
470116,0,2,1,0,5,1,0,470,116,53.0471888,-27.7042317,1.71E-16,7.07E-18,139.23,2.21E-30,2.34E-31,1.13,N,3.31,470116
470117,0,4,0,0,3,0,0,470,117,53.0605323,-27.6986174,3.02E-17,5.45E-18,45.96,1.18E-30,1.87E-31,3.07,N,3.56,470117
470121,2,2,2,2,0,1,1,470,121,53.0732403,-27.6854099,4.83E-17,7.26E-18,38.18,2.27E-30,2.68E-31,0.41,N,3.23,470121
470129,2,5,0,1,0,0,0,470,129,53.0444373,-27.6740328,3.32E-17,4.35E-18,101.29,5.89E-31,1.70E-31,0.56,N,2.78,470129
470133,1,2,0,4,1,1,0,470,133,53.2820227,-27.6687017,4.43E-17,5.32E-18,9000,8.83E-33,1.64E-31,-1.48,N,1.22,470133
470136,2,4,0,0,0,0,0,470,136,53.08452,-27.6318722,4.31E-17,4.71E-18,123.22,6.28E-31,1.65E-31,1,N,1.59,470136
470137,2,0,0,0,0,0,3,470,137,52.9807505,-27.6244606,1.19E-16,6.87E-18,188.85,1.13E-30,2.59E-31,2.11,N,0.85,470137
470139,0,1,0,0,0,2,0,470,139,52.8689787,-27.6054437,3.14E-17,7.30E-18,25.35,2.23E-30,2.67E-31,1.42,N,0.81,470139
470142,0,4,0,0,2,0,0,470,142,53.0844835,-27.5890927,3.68E-17,4.90E-18,61.21,1.08E-30,1.71E-31,0.54,N,1.25,470142
475002,0,4,1,0,1,0,0,475,2,53.0618792,-28.0469748,4.06E-17,8.47E-18,34.08,2.12E-30,2.49E-31,1.19,N,1.69,475002
475003,0,1,4,0,1,2,0,475,3,53.127651,-28.0444988,6.61E-17,6.95E-18,56.15,2.09E-30,2.81E-31,1.24,N,1.44,475003
475006,0,5,0,1,0,0,0,475,6,53.1312373,-28.0380513,4.27E-17,8.83E-18,34.99,2.17E-30,4.03E-31,1.03,N,1.44,475006
475009,0,1,5,0,0,1,0,475,9,53.0462044,-28.0225687,6.90E-17,8.59E-18,80.44,1.53E-30,2.41E-31,0.76,N,1.79,475009
475010,1,5,0,0,3,0,0,475,10,53.0573592,-28.0216327,3.96E-17,4.72E-18,151.43,4.64E-31,1.34E-31,1.54,N,1.84,475010
475012,4,1,1,0,1,0,2,475,12,52.9055256,-28.0165598,4.69E-17,5.03E-18,101.3,8.22E-31,1.42E-31,0.61,N,0.65,475012
475014,0,2,5,0,3,0,0,475,14,52.9918979,-27.9998769,3.03E-17,7.15E-18,21.03,2.56E-30,2.27E-31,1.56,N,0.96,475014
475016,0,0,4,1,4,2,0,475,16,53.1319222,-27.9715771,3.42E-17,6.16E-18,31.39,1.93E-30,2.42E-31,0.94,N,0.78,475016
475026,0,5,1,2,3,0,0,475,26,52.8728943,-27.9427427,3.26E-17,5.97E-18,28.13,2.06E-30,2.15E-31,1.54,N,0.86,475026
475031,0,5,0,0,0,0,0,475,31,53.0383898,-27.9141558,4.05E-17,5.87E-18,28.41,2.53E-30,2.18E-31,0.53,N,0.59,475031
475033,0,4,0,0,2,0,0,475,33,52.9111707,-27.9062251,4.96E-17,6.16E-18,25.18,3.50E-30,2.34E-31,2,N,0.94,475033
475039,3,0,0,2,0,0,2,475,39,53.3727082,-27.8778773,4.78E-17,8.42E-18,21,4.05E-30,5.96E-31,0.38,N,1.1,475039
475040,3,2,0,2,1,0,0,475,40,53.3686923,-27.8743486,4.18E-17,6.21E-18,103.53,7.16E-31,3.04E-31,0.6,N,1.1,475040
475045,0,0,4,0,2,3,0,475,45,53.1930866,-27.8480818,4.55E-17,6.43E-18,18.83,4.29E-30,2.42E-31,1.2,N,0.68,475045
475053,0,4,0,0,3,0,0,475,53,53.2584817,-27.8233651,5.33E-17,4.77E-18,64.97,1.46E-30,2.03E-31,0.53,N,1.01,475053
475067,1,5,0,2,0,0,0,475,67,53.2714117,-27.7887673,2.91E-17,5.04E-18,707.58,7.30E-32,1.98E-31,-0.15,N,1.12,475067
475075,0,1,5,0,5,2,0,475,75,52.9534831,-27.7783728,8.44E-17,9.32E-18,42.04,3.57E-30,3.60E-31,0.98,N,1.15,475075
475080,0,3,0,5,3,0,0,475,80,52.9774505,-27.7526524,3.30E-17,6.87E-18,30.01,1.95E-30,2.53E-31,0.41,N,1.45,475080
475083,0,3,1,1,3,0,0,475,83,52.9978906,-27.747745,4.85E-17,5.88E-18,54.73,1.57E-30,2.15E-31,0.33,N,1.26,475083
475087,0,5,0,0,1,0,0,475,87,53.3195219,-27.7359308,3.75E-17,4.62E-18,105.9,6.30E-31,1.69E-31,0.6,N,1.99,475087
475091,3,0,0,0,0,0,3,475,91,53.3112034,-27.7279235,1.66E-16,1.13E-17,76.61,3.85E-30,4.07E-31,0.31,N,1.98,475091
475097,0,4,0,3,1,0,0,475,97,53.2402928,-27.71602,5.78E-17,9.54E-18,38.63,2.66E-30,3.26E-31,0.57,N,0.89,475097
475101,2,0,0,0,0,0,3,475,101,53.3314651,-27.7087444,4.35E-17,6.31E-18,390.14,1.98E-31,3.03E-31,0.55,N,2.1,475101
475102,1,2,0,2,1,0,2,475,102,52.913331,-27.7084259,2.96E-17,7.41E-18,25.3,2.08E-30,4.72E-31,0.57,N,0.69,475102
475121,1,5,0,1,0,0,0,475,121,53.1843458,-27.6691314,3.05E-17,4.02E-18,254.61,2.13E-31,1.23E-31,1.74,N,0.64,475121
